导演,导演英文名,主要创作地区,导演风格关键词,作品类型,代表作,年份
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,风柜来的人,1983
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,冬冬的假期,1984
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,童年往事,1985
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,恋恋风尘,1986
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,悲情城市,1989
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,戏梦人生,1993
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,南国再见，南国,1996
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,海上花,1998
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,千禧曼波,2001
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,最好的时光,2005
侯孝贤,Hou Hsiao-hsien,中国台湾,固定长镜头；纵深调度；历史日常；光影留白,真人电影,刺客聂隐娘,2015
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,海滩的一天,1983
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,青梅竹马,1985
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,恐怖分子,1986
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,牯岭街少年杀人事件,1991
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,独立时代,1994
杨德昌,Edward Yang,中国台湾,都市建筑；冷静构图；群像叙事；现代性,真人电影,一一,2000
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,青少年哪吒,1992
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,爱情万岁,1994
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,河流,1997
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,洞,1998
蔡明亮,Tsai Ming-liang,中国台湾,极慢长镜头；空置空间；水意象；孤独身体,真人电影,你那边几点,2001
